Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-10-22,Fiorentina,Parma,4,1,H,3,0,H,11.0,9.0,6.0,4.0,12.0,17.0,6.0,5.0,1,2,0,0
2005-10-22,Messina,Ascoli,1,1,D,1,0,H,10.0,6.0,3.0,2.0,16.0,12.0,3.0,4.0,3,1,1,1
2005-10-23,Chievo,Cagliari,2,1,H,0,0,D,12.0,5.0,5.0,2.0,24.0,29.0,10.0,1.0,1,3,0,0
2005-10-23,Lecce,Juventus,0,3,A,0,1,A,5.0,17.0,2.0,9.0,30.0,27.0,9.0,5.0,1,0,0,0
2005-10-23,Livorno,Reggina,1,0,H,0,0,D,15.0,7.0,6.0,1.0,21.0,20.0,10.0,7.0,2,2,1,1
2005-10-23,Milan,Palermo,2,1,H,1,1,D,16.0,8.0,11.0,4.0,19.0,18.0,6.0,6.0,1,3,0,0
2005-10-23,Roma,Lazio,1,1,D,1,0,H,14.0,6.0,4.0,2.0,28.0,21.0,3.0,3.0,3,2,0,0
2005-10-23,Sampdoria,Siena,3,3,D,1,0,H,11.0,15.0,8.0,8.0,20.0,23.0,5.0,2.0,2,5,1,0
2005-10-23,Treviso,Empoli,1,2,A,0,1,A,17.0,10.0,6.0,4.0,19.0,17.0,10.0,3.0,1,2,0,0
2005-10-23,Udinese,Inter,0,1,A,0,1,A,9.0,17.0,4.0,10.0,20.0,20.0,1.0,8.0,2,3,0,0
2005-10-26,Ascoli,Udinese,1,1,D,1,0,H,7.0,8.0,4.0,4.0,17.0,19.0,3.0,9.0,1,0,0,0
2005-10-26,Cagliari,Livorno,1,1,D,0,0,D,14.0,5.0,5.0,3.0,16.0,25.0,8.0,2.0,2,3,0,0
2005-10-26,Empoli,Milan,1,3,A,1,1,D,8.0,16.0,4.0,8.0,13.0,13.0,5.0,10.0,0,1,0,0
2005-10-26,Inter,Roma,2,3,A,0,2,A,15.0,9.0,9.0,5.0,16.0,20.0,9.0,2.0,2,3,1,1
2005-10-26,Juventus,Sampdoria,2,0,H,1,0,H,14.0,12.0,9.0,4.0,24.0,25.0,3.0,7.0,0,2,0,0
2005-10-26,Lazio,Chievo,2,2,D,1,0,H,,,,,,,,,1,3,0,0
2005-10-26,Palermo,Lecce,3,0,H,1,0,H,10.0,12.0,4.0,5.0,13.0,16.0,2.0,7.0,3,3,1,0
